Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting Year
1010630,,Aberdeen Generating Station,Aberdeen,SD,57401,421 30th Ave SW,,45.45807,-98.50242,221112.0,"C,D",Power Plants,32094.278,32061.1,15.0,18.178,,,,,,,,,,281.046,31813.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001347,110012534766.0,Acadia Power Station,EUNICE,LA,70535,30385 CROWLEY EUNICE HWY,Acadia,30.4284,-92.4112,221112.0,D,Power Plants,1976162.376,1974155.6,915.5,1091.276,,,,,,,,,,,1976162.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000125,110024408256.0,Ackerman Combined Cycle,ACKERMAN,MS,39735,2510 PENSACOLA ROAD,Choctaw,33.38,-89.2091,221112.0,"C,D",Power Plants,1209259.195,1208031.5,560.175,667.52,,,,,,,,,,221.9,1209037.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1006553,110001234030.0,"Advanced Tri-Gen Power Systems, LLC",Chillicothe,IL,61523,1823 East Boy Scout Road,PEORIA COUNTY,40.843067,-89.564148,221112.0,C,Power Plants,140119.872,139975.2,66.0,78.672,,,,,,,,,,140119.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1006556,110007007416.0,Afton Generating Station,LA MESA,NM,88044,10100 WEST AFTON ROAD,Dona Ana,32.1134,-106.848,221112.0,"C,D",Power Plants,385159.272,384768.0,178.5,212.772,,,,,,,,,,1442.144,383717.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1007206,110000780851.0,Agua Fria Generating Station,GLENDALE,AZ,85303,7302 W NORTHERN AVE,Maricopa,33.5542,-112.2161,221112.0,"C,D",Power Plants,153454.08,153297.9,71.25,84.93,,,,,,,,,,10114.712,143339.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000423,110038082302.0,Agua Mansa Power,COLTON,CA,92324,2040 AGUA MANSA ROAD,San Bernardino,34.0414,-117.3603,221112.0,D,Power Plants,2451.94,2449.2,1.25,1.49,,,,,,,,,,,2451.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1003160,110000463622.0,Air Products La Porte Facility,La Porte,TX,77571,10202 Strang Rd,HARRIS COUNTY,29.702,-95.071,325120.0,"C,D",Power Plants,115987.492,115889.4,44.75,53.342,,,,,,,,,,39953.776,76033.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1010937,110013681809.0,"Alaska Village Electric Cooperative, Inc.",Anchorage,AK,99503,4831 Eagle Street,ANCHORAGE MUNICIPALITY,61.17697,-149.87559,221112.0,C,Power Plants,30660.05,30554.3,31.25,74.5,,,,,,,,,,30660.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1012844,110070073797.0,Albany Green Energy,Albany,GA,31705,508 Liberty Expressway SE,DOUGHERTY COUNTY,31.443122,-84.118617,221112.0,D,Power Plants,6364.622,,914.5,5450.122,,,,,,,,,502253.6,,6364.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1000955,110071160702.0,Alex Ty Cooke Generating Station,LUBBOCK,TX,79404,3500 E SLATON HWY,Lubbock,33.5211,-101.7906,221112.0,"C,D",Power Plants,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1005044,110043805790.0,"Algonquin Power Sanger, LLC",Sanger,CA,93657,1125 Muscat Avenue,FRESNO COUNTY,36.685049,-119.55225,221112.0,"C,D",Power Plants,27964.896,27936.4,13.0,15.496,,,,,,,,,,6.6,27958.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
